review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,concat,delivery_pos,quality_pos,quantity_pos,cs_pos,price_pos,delivery,delivery_not_del,quality,quantity_parcial,wrong_item,cs
66e1078073f6c367187af35c86ca1650,015fb6b5f739788434fa690540f90f19,1,,Comprei duas banquetas brancas no site pra ser entregue at√© 13/03 e at√© agora n√£o recebi bem minha casa.Aguardo provid√™ncias ou vou procurar meus direitos d consumidora.,3/15/17 0:00,3/15/17 20:28,I bought two white banquets on the website to be delivered at 13/03 and now I will not receive my house well. I will arrange providem�� or I will look for my consumer rights .,,,,,,,1,,,,
f5e80c8192e74de7ba46efee4939cf8b,3bf55ff583973c0c06914babcbb30891,4,,A ENTREGA PODERIA SER MAIS R√ÅPIDA,1/23/18 0:00,1/23/18 22:05,DELIVERY COULD BE MORE RUDE,,,,,,,,,,,1
6da022f5a7453690030572bc48dbda30,333836c2e85611f0f64e5c36e9a475e9,5,Top,"O rel√≥gio √© bonito o material √© um pouco duro, mas √© bakana
",6/3/18 0:00,6/3/18 19:24,"The report, the material is beautiful, is a bit hard, but, ��� � bakana
",,1,,,,,,,,,
b12ecc5278a6196182f5c4ffe1a4973e,c8437ae2370954848655235ebb274b59,2,Produto inferior,"Produto inferior ao esperado. O mesmo foi comprado em mente a se obter o original do Google, n√£o uma replica mal feita. 

Sem mais

Luis Fernando Brandao",8/11/18 0:00,8/14/18 10:57,"Product was lower than expected. The same was bought in mind for the original Google, not a bad replica.

No further

Luis Fernando Brandao ",,,,,,,,1,,1,
35c203d9769ab0d834e79a090cd24c3f,42a8e0f928664b27f631001fbddf0f26,1,,N√£o veio o mesmo filtro da imagem que comprei.,8/9/17 0:00,8/10/17 17:02,"N� � �, ""� s came the same filter as the image I bought.",,,,,,,,,,1,
3e8b2be7e4a928126099555a0bf3fc89,e2d21f16357e9da293db665a9d8a646e,4,,"RECEBI A ENCOMENDA ANTES DO PRAZO ESTIPULADO, POR√âM O PRODUTO √â DE QUALIDADE BEM RUIM, UMA DAS AL√áAS SOLTOU NO PRIMEITO USO.",8/23/17 0:00,8/24/17 16:51,"I RECEIVED THE ORDER BEFORE THE PERIOD STIPULATED, BECAUSE THE PRODUCT WAS VERY BADLY QUALITY, ONE OF THE ALLOYS WAS RELEASED IN THE FIRST USE.",1,,,,,,,1,,,
711db77860b9a1a3740655fa71b23511,194f1c2a129a89001a71ac255d239fff,4,√ìtimo,"Minha prima que indicou o produto, ela gostou, estou usando agora, vou v√™ se gosto",6/21/18 0:00,6/21/18 14:15,"My cousin who indicated the product, she liked it, I'm using it now, I'll taste it if I like it",,1,,,,,,,,,
48eb62507ea8790e8562aa1744b77162,114e0ad5d9cd8931d7541e1331bdb503,5,,"Td certo, e recomendo o vendedor.",9/20/17 0:00,9/20/17 10:50,"All right, and I recommend the seller.",,,,,,,,,,,
2a05ab630e4b7b2ad1b71ae93f3a3a90,d1fcbf740c2191cdbe2378522690d12e,4,Paulo ,Eu paguei o frete e gostaria de ter recebido em casa como todos os produtos que ja comprei.,7/25/18 0:00,7/26/18 0:44,I paid the freight and would like to have received at home like all the products I already bought.,,,,,,1,,,,,
103f7529df7f89a19b72914518b6eba5,8ad43a57bb88d52531c6facae014a8ae,4,Bom,"Produto entregue corretamente. Na minha opini√£o o que pode ser melhor √© o rastreamento.
",7/12/18 0:00,7/12/18 10:19,"Product delivered correctly. In my opinion, what can be better, is the tracking.
",,,,,,1,,,,,
b72948c0912824f5660a661fcb3ef512,440d0d17af552815d15a9e41abe49359,1,,"prazo de entrega ultrapassou o previsto, vi pelo status q ocorreu algo durante o transporte da mercadoria e esperava um contato para justificar o acontecido e q por isso a entrega atrasaria mas √± tive",4/13/17 0:00,4/13/17 12:34,"deadline exceeded what was expected, I saw the status q something happened during the transport of the goods and I expected a contact to justify what happened and so the delivery would delay but I did not",,,,,,1,,,,,1
c1c6e0a1b12718b7794bd34d4c7cea37,2881b13af2b1dee73ff94bad8d235e16,5,,Pedido entregue antes do prazo e veio certinho bem o que eu imaginava.,10/27/17 0:00,10/28/17 9:14,Order delivered before the deadline and came right what I imagined.,1,1,,,,,,,,,
69b9b270f4993cbb4669ddad07ade107,52ea9e95e801ad09b7489b89c3b49dea,2,,"Comprei 2 unidades com 10 panos de pratos cada,a nota fiscal veio com a quantidade certa s√≥ recebi 10 panos de pratos,espero receber uma resposta para minha d√∫vida,atrav√©s do email n√£o da p/ responder",11/30/17 0:00,11/30/17 14:48,"I bought 2 units with 10 cloths each, the invoice came with the right quantity. I received 10 cloths of dishes, I hope to receive an answer for my life, through of email to reply",,,,,,,,,1,,1
9dc3b3f081668e5673520176c7879686,e834b1811f1b453f8c3c5823249b852d,5,,Adorei,2/15/18 0:00,2/16/18 11:34,I loved it,,,,,,,,,,,
149d98f0242d4ea8ce0c3a3fa704c1d1,1087ede9a334cc652bfecf7e944aad0b,1,,"Ficou pequeno para meu sof√°, mas acredito que fui eu quem n√£o soube medir.üòî N√£o sei se foi entregueno prazo correto.",10/28/17 0:00,10/30/17 17:38,"It became small for my sof,��°, but I believe I was the one who did not know how to measure it. I do not know if it was a correct deadline.",,,,,,,,1,,,
83d450502e14d5b86bb51ba7b6532864,45af143724bdd26ce96b34fbb2d98f0c,5,,Chegou no prazo e achei excelente o produto,11/1/17 0:00,11/3/17 14:39,Arrived on time and found the product to be excellent,1,1,,,,,,,,,
4f46631cf33bce1c28e5c4ba51bc36b3,f7667bdd9bdb0953511db7d56f25865c,1,,"Toalha de p√©ssima qualidade, prefiro as d√° marca casa e conforto.",3/28/17 0:00,3/29/17 10:33,"Towel is of the highest quality, I prefer the home d�cor and comfort.",,,,,,,,1,,,
f0cb91a969c481a26746e7115c6f69e6,2ee0dd09094bb9568b06bc1ffbe9f4ec,1,um servi√ßo pessimo ,comprei dois produto s√≥ chegou um,6/27/18 0:00,6/29/18 12:05,I bought two products.,,,,,,,,,1,,
07a75f39519fd418662c22716aa1668d,2055a5d587514fc2e59552e6bc6e0a5e,5,super recomendo,"muito boa,chegou bem rapido,do material eu ja conhe√ßo pois ja solicitei o mesmo produto a segunda vez.",4/26/18 0:00,4/27/18 2:52,"very good, arrived very fast, of the material I already know, because I already requested the same product the second time.",1,1,,,,,,,,,
bb80198a98c72772be075354d8558bd2,40cc087704cdc9456b35cb98bbd6c8fe,5,,"Quero adquirir a mesmo produto em mais duas(02) unidades, √© poss√≠vel avisar-me .
agrade√ßo",9/27/17 0:00,9/29/17 19:15,"I want to get the same product in two (02) units, so I can not tell me.
thank you
I always buy from the lannister, I get everything on the scheduled dates, once I bought a blender and it came broken, I returned the same and the store sent me another one in just one week.
I ordered two USB HUB 10 DOORS, however I received one, and on the invoice they show two and the order also.
As always the baratheon delivers before the deadline. Very good. Parabs.
, ˚,� � th product, delivery on time.
I made a purchase, the product was invoiced together it came out on the same note, when it arrived, came s,��,� � one with the note with 2, I complained and after 1 day the other came, Product, equal to the anion.
Good bargain. Well into account comparing with other stores. It arrived super fast. I recommend
, But the product was very poorly packed, with no protection between the adhesive tape and the helmet, until now I was able to remove all the glued glue in him.
Very good.",,,,,,,,,,,
a33264ab051bcbeae05d8a4150646aaf,728e61b2b527529e10ce6ec9b04afaf8,5,"recomendo,muito bem atend","Compro sempre na lannister, recebo tudo nas datas previstas, teve uma vez que comprei um liquidificador e este veio quebrado, devolvi o mesmo e a loja me mandou outro em apenas uma semana., recomendo",8/29/18 0:00,8/30/18 17:51,"I always buy from the lannister, I get everything on the scheduled dates, once I bought a blender and it came broken, I returned the same and the store sent me another one in just one week.",1,,,,,,,,,,
94f2d9e9c7cb8c0db450b76c02e74b3e,3b7620f0a3652abfdf6bc1b145b9117c,3,,"Fiz o pedido de dois HUB USB 10 PORTAS, no entanto s√≥ recebi um, e na fatura mostram dois e no pedido tamb√©m.",8/25/17 0:00,8/26/17 18:30,"I ordered two USB HUB 10 DOORS, however I received one, and on the invoice they show two and the order also.",,,,,,,,,1,,
c9a1febf3480d362fa581b0666661201,8118e88205b0cd1342e85368ed6c0bcf,5,Perfeito,Como sempre o baratheon entrega antes do prazo. Mto bom. Parab√©ns. ,8/29/18 0:00,8/29/18 20:47,As always the baratheon delivers before the deadline. Very good. Parabs.,1,,,,,,,,,,
